Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
GuillainBarré Syndrome,"IV immunoglobulin (0.4 g/kg daily for 5 days), plasmapheresis.","Nerve conduction studies, lumbar puncture (elevated CSF protein).","Muscle weakness, tingling, paralysis, breathing difficulty.","[{'text': 'GuillainBarré Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0018378', 'umls_score': 0.8755509257316589}]","[{'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'plasmapheresis', 'label': 'ENTITY', 'umls_cui': 'C0032134', 'umls_score': 0.9833648204803467}]","[{'text': 'Nerve conduction studies', 'label': 'ENTITY', 'umls_cui': 'C0200125', 'umls_score': 0.969454824924469}, {'text': 'lumbar puncture', 'label': 'ENTITY', 'umls_cui': 'C0037943', 'umls_score': 0.9850814938545227}, {'text': 'CSF protein', 'label': 'ENTITY', 'umls_cui': 'C0033684', 'umls_score': 0.8326809406280518}]","[{'text': 'Muscle weakness', 'label': 'ENTITY', 'umls_cui': 'C0030552', 'umls_score': 0.9723703265190125}, {'text': 'tingling', 'label': 'ENTITY', 'umls_cui': 'C0030554', 'umls_score': 0.9621715545654297}, {'text': 'paralysis', 'label': 'ENTITY', 'umls_cui': 'C0522224', 'umls_score': 0.9862017631530762}, {'text': 'breathing difficulty', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.980121910572052}]"
NoninsulinDependent Diabetes (Type 2),"Metformin (5001000 mg twice daily), lifestyle changes, glipizide (510 mg daily).","HbA1c (>6.5%), fasting glucose (>126 mg/dL).","Fatigue, thirst, frequent urination, slowhealing wounds.","[{'text': 'NoninsulinDependent', 'label': 'ENTITY', 'umls_cui': 'C0085862', 'umls_score': 0.7289745211601257}, {'text': 'Diabetes', 'label': 'ENTITY', 'umls_cui': 'C0011847', 'umls_score': 0.9754753708839417}]","[{'text': 'Metformin', 'label': 'ENTITY', 'umls_cui': 'C0025598', 'umls_score': 0.936187207698822}, {'text': 'lifestyle changes', 'label': 'ENTITY', 'umls_cui': 'C0870811', 'umls_score': 0.9783875942230225}, {'text': 'glipizide', 'label': 'ENTITY', 'umls_cui': 'C0017642', 'umls_score': 0.9700697660446167}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'HbA1c', 'label': 'ENTITY', 'umls_cui': 'C0019018', 'umls_score': 0.9943989515304565}, {'text': 'fasting glucose', 'label': 'ENTITY', 'umls_cui': 'C1272092', 'umls_score': 0.7465137243270874}]","[{'text': 'Fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'urination', 'label': 'ENTITY', 'umls_cui': 'C0042034', 'umls_score': 0.9745711088180542}, {'text': 'slowhealing wounds', 'label': 'ENTITY', 'umls_cui': 'C0043240', 'umls_score': 0.7977621555328369}]"
Pertussis,"Azithromycin (500 mg day 1, 250 mg days 25), supportive care.","Nasopharyngeal swab PCR, clinical history.","Severe coughing fits, whooping sound, vomiting postcough.","[{'text': 'Pertussis', 'label': 'ENTITY', 'umls_cui': 'C0031237', 'umls_score': 0.969104528427124}]","[{'text': 'Azithromycin', 'label': 'ENTITY', 'umls_cui': 'C0052796', 'umls_score': 0.9585456252098083}, {'text': 'day', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9967988729476929}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}]","[{'text': 'Nasopharyngeal swab PCR', 'label': 'ENTITY', 'umls_cui': 'C0444192', 'umls_score': 0.9021720290184021}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Severe', 'label': 'ENTITY', 'umls_cui': 'C0205082', 'umls_score': 0.981156051158905}, {'text': 'coughing fits', 'label': 'ENTITY', 'umls_cui': 'C0231911', 'umls_score': 0.9521626234054565}, {'text': 'whooping sound', 'label': 'ENTITY'}]"
Turner Syndrome,"Growth hormone (0.3 mg/kg/week), estrogen replacement (e.g., estradiol 12 mg daily).","Karyotype (45,X), echocardiography.","Short stature, webbed neck, infertility, heart defects.","[{'text': 'Turner Syndrome', 'label': 'ENTITY', 'umls_cui': 'C0041408', 'umls_score': 0.9830450415611267}]","[{'text': 'Growth hormone', 'label': 'ENTITY', 'umls_cui': 'C0037663', 'umls_score': 0.9764378666877747}, {'text': 'estrogen replacement', 'label': 'ENTITY', 'umls_cui': 'C0014935', 'umls_score': 0.9816332459449768}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Karyotype', 'label': 'ENTITY', 'umls_cui': 'C0022526', 'umls_score': 0.9851561784744263}, {'text': 'echocardiography', 'label': 'ENTITY', 'umls_cui': 'C0013516', 'umls_score': 0.993293821811676}]","[{'text': 'Short stature', 'label': 'ENTITY', 'umls_cui': 'C0013336', 'umls_score': 0.9918065071105957}, {'text': 'webbed neck', 'label': 'ENTITY', 'umls_cui': 'C0221217', 'umls_score': 0.9614974856376648}, {'text': 'infertility', 'label': 'ENTITY', 'umls_cui': 'C0021359', 'umls_score': 0.9897329807281494}, {'text': 'heart defects', 'label': 'ENTITY', 'umls_cui': 'C0018798', 'umls_score': 0.9820712804794312}]"
Wilson’s Disease,"Penicillamine (250500 mg 4x daily), zinc acetate (50 mg 3x daily).","Serum ceruloplasmin, 24hour urine copper, liver biopsy.","Tremors, jaundice, copper rings in eyes, liver dysfunction.",[],"[{'text': 'Penicillamine', 'label': 'ENTITY', 'umls_cui': 'C0030817', 'umls_score': 0.991876482963562}, {'text': 'zinc acetate', 'label': 'ENTITY', 'umls_cui': 'C0149368', 'umls_score': 0.9827577471733093}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Serum ceruloplasmin', 'label': 'ENTITY', 'umls_cui': 'C1318404', 'umls_score': 0.9820268154144287}, {'text': 'urine copper', 'label': 'ENTITY', 'umls_cui': 'C0201960', 'umls_score': 0.9686319828033447}, {'text': 'liver biopsy', 'label': 'ENTITY', 'umls_cui': 'C0193388', 'umls_score': 0.973344087600708}]","[{'text': 'Tremors', 'label': 'ENTITY', 'umls_cui': 'C0040822', 'umls_score': 0.9935286045074463}, {'text': 'jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}, {'text': 'copper', 'label': 'ENTITY', 'umls_cui': 'C0009968', 'umls_score': 0.959792971611023}, {'text': 'eyes', 'label': 'ENTITY', 'umls_cui': 'C0015392', 'umls_score': 0.9724115133285522}, {'text': 'liver dysfunction', 'label': 'ENTITY', 'umls_cui': 'C0086565', 'umls_score': 0.950370192527771}]"
Atelectasis,"Incentive spirometry, bronchodilators (e.g., albuterol), surgery if chronic.","Chest Xray, CT scan if needed.","Shortness of breath, chest pain, reduced breath sounds.","[{'text': 'Atelectasis', 'label': 'ENTITY', 'umls_cui': 'C0004144', 'umls_score': 0.9878409504890442}]","[{'text': 'Incentive spirometry', 'label': 'ENTITY', 'umls_cui': 'C0454512', 'umls_score': 0.9797963500022888}, {'text': 'bronchodilators', 'label': 'ENTITY', 'umls_cui': 'C0006280', 'umls_score': 0.99211585521698}, {'text': 'albuterol', 'label': 'ENTITY', 'umls_cui': 'C0001927', 'umls_score': 0.9752848744392395}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}, {'text': 'chronic', 'label': 'ENTITY', 'umls_cui': 'C0205191', 'umls_score': 0.991936981678009}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'CT scan', 'label': 'ENTITY', 'umls_cui': 'C0040405', 'umls_score': 0.9926449656486511}]","[{'text': 'Shortness of breath', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9651163220405579}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'reduced', 'label': 'ENTITY', 'umls_cui': 'C0392756', 'umls_score': 0.9816093444824219}, {'text': 'breath sounds', 'label': 'ENTITY', 'umls_cui': 'C0035234', 'umls_score': 0.9867587685585022}]"
Malignant Pleural Mesothelioma,"Pemetrexed (500 mg/m² IV), cisplatin (75 mg/m² IV), surgery.","Chest CT, pleural biopsy, PET scan.","Chest pain, dyspnea, weight loss, pleural effusion.","[{'text': 'Malignant', 'label': 'ENTITY', 'umls_cui': 'C0205282', 'umls_score': 0.9868398904800415}, {'text': 'Pleural Mesothelioma', 'label': 'ENTITY', 'umls_cui': 'C0812413', 'umls_score': 0.9790952205657959}]","[{'text': 'Pemetrexed', 'label': 'ENTITY', 'umls_cui': 'C0210657', 'umls_score': 0.9579700231552124}, {'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'cisplatin', 'label': 'ENTITY', 'umls_cui': 'C0008838', 'umls_score': 0.9732010960578918}, {'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'surgery', 'label': 'ENTITY', 'umls_cui': 'C0038894', 'umls_score': 0.9868206977844238}]","[{'text': 'Chest CT', 'label': 'ENTITY', 'umls_cui': 'C0202823', 'umls_score': 0.9898857474327087}, {'text': 'pleural biopsy', 'label': 'ENTITY', 'umls_cui': 'C0176531', 'umls_score': 0.9735502004623413}, {'text': 'PET', 'label': 'ENTITY', 'umls_cui': 'C0031268', 'umls_score': 0.9741676449775696}, {'text': 'scan', 'label': 'ENTITY', 'umls_cui': 'C0034606', 'umls_score': 0.9957098364830017}]","[{'text': 'Chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'dyspnea', 'label': 'ENTITY', 'umls_cui': 'C0013404', 'umls_score': 0.9835606217384338}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'pleural effusion', 'label': 'ENTITY', 'umls_cui': 'C0032227', 'umls_score': 0.9593521356582642}]"
Lung Cancer,"Surgery, gefitinib (250 mg daily), carboplatin (AUC 56 IV).","Chest Xray, CT, biopsy, EGFR testing.","Persistent cough, hemoptysis, chest pain, weight loss.","[{'text': 'Lung Cancer', 'label': 'ENTITY', 'umls_cui': 'C0242379', 'umls_score': 0.977493166923523}]","[{'text': 'gefitinib', 'label': 'ENTITY', 'umls_cui': 'C1122962', 'umls_score': 0.9613086581230164}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'carboplatin', 'label': 'ENTITY', 'umls_cui': 'C0079083', 'umls_score': 0.9618808031082153}, {'text': 'AUC', 'label': 'ENTITY', 'umls_cui': 'C0376690', 'umls_score': 0.9755037426948547}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'EGFR testing', 'label': 'ENTITY', 'umls_cui': 'C0039593', 'umls_score': 0.7928447723388672}]","[{'text': 'Persistent cough', 'label': 'ENTITY', 'umls_cui': 'C0562483', 'umls_score': 0.9686811566352844}, {'text': 'hemoptysis', 'label': 'ENTITY', 'umls_cui': 'C0019079', 'umls_score': 0.9599552750587463}, {'text': 'chest pain', 'label': 'ENTITY', 'umls_cui': 'C0008031', 'umls_score': 0.9849169850349426}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}]"
Prostate Cancer,"Radical prostatectomy, leuprolide (7.5 mg monthly), abiraterone (1000 mg daily).","PSA test, prostate biopsy, MRI.","Difficulty urinating, blood in urine, pelvic pain, bone pain.","[{'text': 'Prostate Cancer', 'label': 'ENTITY', 'umls_cui': 'C0376358', 'umls_score': 0.9910537004470825}]","[{'text': 'Radical prostatectomy', 'label': 'ENTITY', 'umls_cui': 'C0194810', 'umls_score': 0.9808538556098938}, {'text': 'leuprolide', 'label': 'ENTITY', 'umls_cui': 'C0085272', 'umls_score': 0.9723733067512512}, {'text': 'abiraterone', 'label': 'ENTITY', 'umls_cui': 'C0754011', 'umls_score': 0.9677680134773254}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'PSA test', 'label': 'ENTITY', 'umls_cui': 'C0022885', 'umls_score': 0.7554857730865479}, {'text': 'prostate biopsy', 'label': 'ENTITY', 'umls_cui': 'C0194804', 'umls_score': 0.9702640771865845}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}]","[{'text': 'Difficulty urinating', 'label': 'ENTITY', 'umls_cui': 'C0241705', 'umls_score': 0.9722999930381775}, {'text': 'blood', 'label': 'ENTITY', 'umls_cui': 'C0005767', 'umls_score': 0.9994040131568909}, {'text': 'urine', 'label': 'ENTITY', 'umls_cui': 'C0042036', 'umls_score': 0.9818705320358276}, {'text': 'pelvic pain', 'label': 'ENTITY', 'umls_cui': 'C0030794', 'umls_score': 0.9685612916946411}, {'text': 'bone pain', 'label': 'ENTITY', 'umls_cui': 'C0151825', 'umls_score': 0.9806250929832458}]"
Kawasaki Disease,"IV immunoglobulin (2 g/kg over 1012 hours), aspirin (3050 mg/kg/day).","Clinical criteria, echocardiography for coronary aneurysms.","Fever >5 days, rash, red eyes, swollen hands/feet, strawberry tongue.","[{'text': 'Kawasaki Disease', 'label': 'ENTITY', 'umls_cui': 'C5238790', 'umls_score': 0.8397265076637268}]","[{'text': 'aspirin', 'label': 'ENTITY', 'umls_cui': 'C0004057', 'umls_score': 0.9810118675231934}]","[{'text': 'Clinical criteria', 'label': 'ENTITY'}, {'text': 'echocardiography', 'label': 'ENTITY', 'umls_cui': 'C0013516', 'umls_score': 0.993293821811676}, {'text': 'coronary aneurysms', 'label': 'ENTITY', 'umls_cui': 'C0010051', 'umls_score': 0.9681380987167358}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'red eyes', 'label': 'ENTITY', 'umls_cui': 'C0235267', 'umls_score': 0.9612858891487122}, {'text': 'swollen hands/feet', 'label': 'ENTITY', 'umls_cui': 'C0574002', 'umls_score': 0.7203128933906555}, {'text': 'strawberry', 'label': 'ENTITY', 'umls_cui': 'C0018916', 'umls_score': 0.8148516416549683}, {'text': 'tongue', 'label': 'ENTITY', 'umls_cui': 'C0040408', 'umls_score': 0.9851449131965637}]"
Menopause,"Estradiol (0.51 mg daily), lifestyle changes, SSRIs (e.g., paroxetine 20 mg daily).","Clinical history, FSH levels (>25 IU/L).","Hot flashes, night sweats, irregular periods, mood swings.","[{'text': 'Menopause', 'label': 'ENTITY', 'umls_cui': 'C0025320', 'umls_score': 0.9641866683959961}]","[{'text': 'Estradiol', 'label': 'ENTITY', 'umls_cui': 'C0014912', 'umls_score': 0.9908850193023682}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'lifestyle changes', 'label': 'ENTITY', 'umls_cui': 'C0870811', 'umls_score': 0.9783875942230225}, {'text': 'SSRIs', 'label': 'ENTITY', 'umls_cui': 'C0360105', 'umls_score': 0.9438421726226807}, {'text': 'paroxetine', 'label': 'ENTITY', 'umls_cui': 'C0070122', 'umls_score': 0.9531632661819458}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'FSH', 'label': 'ENTITY', 'umls_cui': 'C0016424', 'umls_score': 0.9841411113739014}, {'text': 'levels', 'label': 'ENTITY', 'umls_cui': 'C0441889', 'umls_score': 0.9882259964942932}]","[{'text': 'Hot flashes', 'label': 'ENTITY', 'umls_cui': 'C0600142', 'umls_score': 0.9807350635528564}, {'text': 'night sweats', 'label': 'ENTITY', 'umls_cui': 'C0028081', 'umls_score': 0.9751355051994324}, {'text': 'irregular periods', 'label': 'ENTITY', 'umls_cui': 'C0156404', 'umls_score': 0.9676447510719299}, {'text': 'mood swings', 'label': 'ENTITY', 'umls_cui': 'C0085633', 'umls_score': 0.9737966656684875}]"
Idiopathic Intracranial Hypertension,"Acetazolamide (250500 mg twice daily), weight loss, optic nerve sheath fenestration.","Lumbar puncture (elevated pressure), MRI/MRV.","Headaches, vision loss, papilledema, tinnitus.","[{'text': 'Idiopathic Intracranial Hypertension', 'label': 'ENTITY', 'umls_cui': 'C0033845', 'umls_score': 0.9820254445075989}]","[{'text': 'Acetazolamide', 'label': 'ENTITY', 'umls_cui': 'C0000981', 'umls_score': 0.9790584444999695}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'optic nerve sheath', 'label': 'ENTITY', 'umls_cui': 'C0228673', 'umls_score': 0.98883455991745}, {'text': 'fenestration', 'label': 'ENTITY', 'umls_cui': 'C0015825', 'umls_score': 0.9702602028846741}]","[{'text': 'Lumbar puncture', 'label': 'ENTITY', 'umls_cui': 'C0037943', 'umls_score': 0.9850814938545227}, {'text': 'elevated pressure', 'label': 'ENTITY', 'umls_cui': 'C0020538', 'umls_score': 0.8254988193511963}, {'text': 'MRI/MRV', 'label': 'ENTITY'}]","[{'text': 'Headaches', 'label': 'ENTITY', 'umls_cui': 'C0018681', 'umls_score': 0.9839891791343689}, {'text': 'vision loss', 'label': 'ENTITY', 'umls_cui': 'C0456909', 'umls_score': 0.9785060882568359}, {'text': 'papilledema', 'label': 'ENTITY', 'umls_cui': 'C0030353', 'umls_score': 0.9847666621208191}, {'text': 'tinnitus', 'label': 'ENTITY', 'umls_cui': 'C0040264', 'umls_score': 0.9709280729293823}]"
Penile Cancer,"Partial penectomy, cisplatin (70 mg/m² IV), radiotherapy.","Biopsy, MRI, HPV testing.","Penile lesion, bleeding, foul odor, groin swelling.","[{'text': 'Penile Cancer', 'label': 'ENTITY', 'umls_cui': 'C0153601', 'umls_score': 0.9813876748085022}]","[{'text': 'Partial penectomy', 'label': 'ENTITY', 'umls_cui': 'C5204445', 'umls_score': 0.9853555560112}, {'text': 'cisplatin', 'label': 'ENTITY', 'umls_cui': 'C0008838', 'umls_score': 0.9732010960578918}, {'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'radiotherapy', 'label': 'ENTITY', 'umls_cui': 'C0034619', 'umls_score': 0.9886812567710876}]","[{'text': 'Biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'HPV testing', 'label': 'ENTITY', 'umls_cui': 'C3839551', 'umls_score': 0.9335012435913086}]","[{'text': 'Penile', 'label': 'ENTITY', 'umls_cui': 'C0030851', 'umls_score': 0.9784013628959656}, {'text': 'lesion', 'label': 'ENTITY', 'umls_cui': 'C0221198', 'umls_score': 0.9757081866264343}, {'text': 'bleeding', 'label': 'ENTITY', 'umls_cui': 'C0019080', 'umls_score': 0.9680540561676025}, {'text': 'foul odor', 'label': 'ENTITY', 'umls_cui': 'C0237137', 'umls_score': 0.9722386002540588}, {'text': 'groin swelling', 'label': 'ENTITY', 'umls_cui': 'C0476313', 'umls_score': 0.9618899822235107}]"
Disseminated Tuberculosis,"Rifampin (600 mg daily), isoniazid (300 mg daily), ethambutol (15 mg/kg daily).","Chest Xray, sputum culture, biopsy of affected sites.","Fever, night sweats, weight loss, multiorgan involvement.","[{'text': 'Disseminated Tuberculosis', 'label': 'ENTITY', 'umls_cui': 'C0152915', 'umls_score': 0.9851016402244568}]","[{'text': 'Rifampin', 'label': 'ENTITY', 'umls_cui': 'C0035608', 'umls_score': 0.967027485370636}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'isoniazid', 'label': 'ENTITY', 'umls_cui': 'C0022209', 'umls_score': 0.9860484004020691}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'ethambutol', 'label': 'ENTITY', 'umls_cui': 'C0014964', 'umls_score': 0.9876527190208435}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Chest Xray', 'label': 'ENTITY', 'umls_cui': 'C0024867', 'umls_score': 0.8543890118598938}, {'text': 'sputum culture', 'label': 'ENTITY', 'umls_cui': 'C0523174', 'umls_score': 0.9554357528686523}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'affected sites', 'label': 'ENTITY', 'umls_cui': 'C0392760', 'umls_score': 0.7687944173812866}]","[{'text': 'Fever', 'label': 'ENTITY', 'umls_cui': 'C0015967', 'umls_score': 0.9616571664810181}, {'text': 'night sweats', 'label': 'ENTITY', 'umls_cui': 'C0028081', 'umls_score': 0.9751355051994324}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'multiorgan', 'label': 'ENTITY', 'umls_cui': 'C0026766', 'umls_score': 0.7100939154624939}, {'text': 'involvement', 'label': 'ENTITY', 'umls_cui': 'C1314939', 'umls_score': 0.9601795673370361}]"
Bronchitis,"Albuterol inhaler, doxycycline (100 mg twice daily) if bacterial.","Clinical exam, chest Xray to rule out pneumonia.","Productive cough, wheezing, chest discomfort, fatigue.","[{'text': 'Bronchitis', 'label': 'ENTITY', 'umls_cui': 'C0006277', 'umls_score': 0.9859724640846252}]","[{'text': 'Albuterol inhaler', 'label': 'ENTITY', 'umls_cui': 'C0001927', 'umls_score': 0.731463611125946}, {'text': 'doxycycline', 'label': 'ENTITY', 'umls_cui': 'C0013090', 'umls_score': 0.9679107069969177}, {'text': 'bacterial', 'label': 'ENTITY', 'umls_cui': 'C0521009', 'umls_score': 0.987280547618866}]","[{'text': 'Clinical exam', 'label': 'ENTITY', 'umls_cui': 'C0205210', 'umls_score': 0.7985143661499023}, {'text': 'chest', 'label': 'ENTITY', 'umls_cui': 'C0817096', 'umls_score': 0.9929832816123962}, {'text': 'pneumonia', 'label': 'ENTITY', 'umls_cui': 'C0032285', 'umls_score': 0.9826633930206299}]","[{'text': 'Productive cough', 'label': 'ENTITY', 'umls_cui': 'C0239134', 'umls_score': 0.9714952111244202}, {'text': 'wheezing', 'label': 'ENTITY', 'umls_cui': 'C0043144', 'umls_score': 0.9590449929237366}, {'text': 'chest discomfort', 'label': 'ENTITY', 'umls_cui': 'C0235710', 'umls_score': 0.9599461555480957}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}]"
Giardiasis,"Metronidazole (250 mg 3x daily for 57 days), hydration.","Stool antigen test, microscopy for Giardia.","Diarrhea, abdominal cramps, bloating, foulsmelling stools.","[{'text': 'Giardiasis', 'label': 'ENTITY', 'umls_cui': 'C0017536', 'umls_score': 0.982710599899292}]","[{'text': 'Metronidazole', 'label': 'ENTITY', 'umls_cui': 'C0025872', 'umls_score': 0.9793698191642761}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'days', 'label': 'ENTITY', 'umls_cui': 'C0439228', 'umls_score': 0.996391773223877}, {'text': 'hydration', 'label': 'ENTITY', 'umls_cui': 'C1321013', 'umls_score': 0.9771467447280884}]","[{'text': 'Stool antigen test', 'label': 'ENTITY', 'umls_cui': 'C0201811', 'umls_score': 0.7375151515007019}, {'text': 'microscopy', 'label': 'ENTITY', 'umls_cui': 'C0026018', 'umls_score': 0.9947981238365173}, {'text': 'Giardia', 'label': 'ENTITY', 'umls_cui': 'C0017534', 'umls_score': 0.9818665981292725}]","[{'text': 'Diarrhea', 'label': 'ENTITY', 'umls_cui': 'C0011991', 'umls_score': 0.9832403063774109}, {'text': 'abdominal cramps', 'label': 'ENTITY', 'umls_cui': 'C0000729', 'umls_score': 0.9715237021446228}, {'text': 'bloating', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9594429135322571}, {'text': 'foulsmelling', 'label': 'ENTITY'}, {'text': 'stools', 'label': 'ENTITY', 'umls_cui': 'C0015733', 'umls_score': 0.9726763367652893}]"
Dyslexia,"Educational interventions, no drugs typically required.","Cognitive testing, reading assessments.","Difficulty reading, spelling errors, slow word recognition.","[{'text': 'Dyslexia', 'label': 'ENTITY', 'umls_cui': 'C0476254', 'umls_score': 0.9641939401626587}]","[{'text': 'Educational interventions', 'label': 'ENTITY', 'umls_cui': 'C0281163', 'umls_score': 0.915328860282898}, {'text': 'drugs', 'label': 'ENTITY', 'umls_cui': 'C0013227', 'umls_score': 0.9851945638656616}]","[{'text': 'Cognitive testing', 'label': 'ENTITY', 'umls_cui': 'C5243580', 'umls_score': 0.9666760563850403}, {'text': 'reading assessments', 'label': 'ENTITY', 'umls_cui': 'C1261322', 'umls_score': 0.7673006653785706}]","[{'text': 'Difficulty reading', 'label': 'ENTITY', 'umls_cui': 'C0586742', 'umls_score': 0.9732677936553955}, {'text': 'spelling errors', 'label': 'ENTITY', 'umls_cui': 'C0541736', 'umls_score': 0.7357761859893799}, {'text': 'slow word recognition', 'label': 'ENTITY', 'umls_cui': 'C0524637', 'umls_score': 0.7194879055023193}]"
Factor V Leiden,"Warfarin (25 mg daily), rivaroxaban (20 mg daily).","Genetic testing, Ddimer, ultrasound for clots.","Recurrent blood clots, leg swelling, pulmonary embolism risk.","[{'text': 'Factor V Leiden', 'label': 'ENTITY', 'umls_cui': 'C0380964', 'umls_score': 0.9591987729072571}]","[{'text': 'Warfarin', 'label': 'ENTITY', 'umls_cui': 'C0043031', 'umls_score': 0.9623537063598633}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'rivaroxaban', 'label': 'ENTITY', 'umls_cui': 'C1739768', 'umls_score': 0.9763015508651733}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Genetic testing', 'label': 'ENTITY', 'umls_cui': 'C0393006', 'umls_score': 0.9895012974739075}, {'text': 'Ddimer', 'label': 'ENTITY', 'umls_cui': 'C0060323', 'umls_score': 0.9541385769844055}, {'text': 'ultrasound', 'label': 'ENTITY', 'umls_cui': 'C0041618', 'umls_score': 0.9832558631896973}, {'text': 'clots', 'label': 'ENTITY', 'umls_cui': 'C0302148', 'umls_score': 0.9772307872772217}]","[{'text': 'Recurrent blood clots', 'label': 'ENTITY', 'umls_cui': 'C1735901', 'umls_score': 0.739288866519928}, {'text': 'leg swelling', 'label': 'ENTITY', 'umls_cui': 'C0581394', 'umls_score': 0.9585703611373901}, {'text': 'pulmonary embolism risk', 'label': 'ENTITY', 'umls_cui': 'C0034065', 'umls_score': 0.8896687626838684}]"
